Participant ID,Gender,Time in Ghar,Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Overall Sum,Disengagement Sum,Exhaustion Sum,,Disengagement Mean,Exhaustion Mean
C105,M,20,26,2,1,1,3,2,3,2,1,1,2,4,2,2,2,2,2,32,17,15,,2.125,1.875
C40,F,35,20,2,2,2,1,2,1,4,1,1,2,3,1,4,1,1,1,29,18,11,,2.25,1.375
C30,F,66,32,3,3,2,4,1,2,1,2,3,4,2,4,4,1,2,3,41,19,22,,2.375,2.75
C156 ,M,8,24,2,1,1,1,2,3,2,1,3,2,3,1,2,2,2,2,30,18,12,,2.25,1.5
C13,M,170,38,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,22,14,8,,1.75,1
C10,M,41,22,2,2,3,3,1,2,4,1,3,1,2,3,1,1,1,3,33,18,15,,2.25,1.875
C46,M,27,20,2,1,1,3,2,3,2,1,3,2,2,1,4,2,2,2,33,19,14,,2.375,1.75
c157,F,14,24,2,3,1,2,2,2,2,3,3,2,3,2,4,2,1,2,36,18,18,,2.25,2.25
C59,M,30,54,2,1,1,1,2,3,2,1,1,2,1,1,2,2,2,2,26,14,12,,1.75,1.5
C158,F,6,26,2,4,1,3,3,1,2,3,3,3,3,4,3,1,2,3,41,17,24,,2.125,3
C35,F,43,26,1,3,1,3,2,1,2,1,1,2,1,2,1,1,1,2,25,9,16,,1.125,2
C61,M,34,28,1,4,4,3,1,4,1,4,3,1,3,1,1,1,1,1,34,18,16,,2.25,2
C47,F,35,27,2,2,2,3,1,4,3,2,2,2,1,1,3,2,2,2,34,19,15,,2.375,1.875
C151,F,14,40,1,1,1,3,3,4,1,1,1,1,3,2,1,2,2,1,28,14,14,,1.75,1.75
c 22,F,75,35,2,1,1,3,1,2,2,3,2,2,3,3,2,1,2,2,32,16,16,,2,2
C160,F,9,29,1,1,3,1,2,4,1,1,4,2,4,1,4,2,2,2,35,23,12,,2.875,1.5
C163,F,10,32,1,1,2,1,1,3,3,1,4,4,3,1,4,1,4,1,35,24,11,,3,1.375
C19,F,10,29,1,3,2,3,2,3,1,3,3,2,2,3,3,2,1,2,36,16,20,,2,2.5
C16,F,101,35,2,1,2,3,2,3,3,3,3,2,3,3,2,2,2,2,38,20,18,,2.5,2.25
C108,F,12,22,2,4,2,3,1,3,1,2,3,3,1,3,2,1,1,2,34,15,19,,1.875,2.375
C29,F,96,34,2,1,1,3,1,4,2,2,2,2,1,2,3,1,2,2,31,17,14,,2.125,1.75
C3,F,78,22,1,4,1,3,4,4,1,1,4,1,2,4,4,1,1,2,38,18,20,,2.25,2.5
C162,F,9,50,1,4,1,3,1,3,4,4,1,2,1,3,2,1,2,1,34,15,19,,1.875,2.375
C49 ,F,78,23,2,1,1,1,2,3,4,1,1,3,1,2,4,2,2,3,33,18,15,,2.25,1.875
C129,F,18,31,1,3,4,1,1,1,2,1,1,2,1,1,1,1,1,2,24,12,12,,1.5,1.5
C20,F,38,50,2,1,1,2,1,1,2,2,1,2,2,2,3,2,2,1,27,14,13,,1.75,1.625
C53,F,27,46,1,1,1,1,1,1,1,1,4,1,1,3,2,1,1,1,22,12,10,,1.5,1.25
C159,F,4,24,2,3,4,4,2,3,3,3,3,1,1,1,1,1,1,1,34,18,16,,2.25,2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Overall Averages,,32.03571429,16.78571429,15.25,,2.098214286,1.90625
